Tarih;Açýklama;Tutar(TL);Güncel Bakiye(TL)
02.06.2025;3249713458 nolu CK AKDENÝZ ELEKTRÝK PERAKENDE SATIÞ A.Þ 324235436631 fatura ödemesi;-265,00;3.487,25
23.06.2025;5304841688 nolu TURKCELL 0000006883714175 fatura ödemesi;-99,00;3.388,25
23.06.2025;5304841689 nolu TURKCELL 0000006883714179 fatura ödemesi;-99,00;3.289,25
01.07.2025;6793719540 Nolu üyeye ait 25021006 referanslý Sanal POS Bedeli Komisyon Tahsilatý;-310,00;2.979,25
01.07.2025;6793719540 Nolu üyeye ait 25021006 referanslý Sanal POS Bedeli Komisyon BSMV Tahsilatý;-15,50;2.963,75
03.07.2025;3249713458 nolu CK AKDENÝZ ELEKTRÝK PERAKENDE SATIÞ A.Þ 324091413662 fatura ödemesi;-255,00;2.708,75
01.08.2025;6793719540 Nolu üyeye ait 25021007 referanslý Sanal POS Bedeli Komisyon Tahsilatý;-310,00;2.398,75
01.08.2025;6793719540 Nolu üyeye ait 25021007 referanslý Sanal POS Bedeli Komisyon BSMV Tahsilatý;-15,50;2.383,25
01.09.2025;6793719540 Nolu üyeye ait 25021008 referanslý Sanal POS Bedeli Komisyon Tahsilatý;-310,00;2.073,25
01.09.2025;6793719540 Nolu üyeye ait 25021008 referanslý Sanal POS Bedeli Komisyon BSMV Tahsilatý;-15,50;2.057,75
01.09.2025;Ref No:  SN:9759241 PAYTR ÖDEME VE ELEKTRONÝK PARA KURULUÞU ANONÝM ÞÝRKETÝ PAYTR NET TUTAR GönBanka:46 GönÞube:90001 EftRef:30 Eft Otomatik Muhasebe ;1.083,61;3.141,36
02.09.2025;Ref No:  SN:2101527 PAYTR ÖDEME VE ELEKTRONÝK PARA KURULUÞU ANONÝM ÞÝRKETÝ PAYTR NET TUTAR GönBanka:46 GönÞube:90001 EftRef:21 Eft Otomatik Muhasebe ;11.065,26;14.206,62
