Tarih;Açýklama;Ýþlem Tutarý;Bakiye
31/07/2025;1801374784X310725300725ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN (BSMV);-38,24;1.182.171,02
31/07/2025;1801374784X310725300725ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN;-764,41;1.182.209,26
31/07/2025;1801374784X310725300725PEÞÝNSATIÞ;40.448,55;1.182.973,67
31/07/2025;1801374784X310725030725ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-2,35;1.142.525,12
31/07/2025;1801374784X310725030725ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-46,96;1.142.527,47
31/07/2025;1801374784X310725030725TAKSÝTLÝSATIÞKATKIPAYI;-101,29;1.142.574,43
31/07/2025;1801374784X310725030725TAKSÝTSATIÞ;4.084,25;1.142.675,72
31/07/2025;1801374784X310725200625PEÞÝNSATIÞ;4.498,00;1.138.591,47
31/07/2025;1801374784X310725040525ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-0,44;1.134.093,47
31/07/2025;1801374784X310725040525ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-8,81;1.134.093,91
31/07/2025;1801374784X310725040525TAKSÝTSATIÞ;766,65;1.134.102,72
30/07/2025;BSMV POS-1801374784 07/25 Belge ve Bilgilendirme Ücreti-Basýlý Ekstre;-1,75;1.133.336,07
30/07/2025;POS-1801374784 07/25 Belge ve Bilgilendirme Ücreti-Basýlý Ekstre;-35,00;1.133.337,82
30/07/2025;1801374784X300725290725ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN (BSMV);-31,15;1.133.372,82
30/07/2025;1801374784X300725290725ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN;-623,02;1.133.403,97
30/07/2025;1801374784X300725290725PEÞÝNSATIÞ;32.965,60;1.134.026,99
30/07/2025;1801374784X300725190625PEÞÝNSATIÞ;10.539,30;1.101.061,39
30/07/2025;1801374784X300725020625ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-2,22;1.090.522,09
30/07/2025;1801374784X300725020625ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-44,30;1.090.524,31
30/07/2025;1801374784X300725020625TAKSÝTSATIÞ;3.853,22;1.090.568,61
30/07/2025;1801374784X300725020725ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-0,81;1.086.715,39
30/07/2025;1801374784X300725020725ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-16,28;1.086.716,20
30/07/2025;1801374784X300725020725TAKSÝTLÝSATIÞKATKIPAYI;-42,50;1.086.732,48
30/07/2025;1801374784X300725020725TAKSÝTSATIÞ;1.416,50;1.086.774,98
29/07/2025;1801374784X290725280725ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN (BSMV);-29,34;1.085.358,48
29/07/2025;1801374784X290725280725ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN;-586,46;1.085.387,82
29/07/2025;1801374784X290725280725PEÞÝNSATIÞ;31.030,50;1.085.974,28
