Tarih;Açýklama;Tutar(TL);Güncel Bakiye(TL)
01.04.2025;6793719540 Nolu üyeye ait 25021003 referanslý Sanal POS Bedeli Komisyon Tahsilatý;-310,00;5.200,75
01.04.2025;6793719540 Nolu üyeye ait 25021003 referanslý Sanal POS Bedeli Komisyon BSMV Tahsilatý;-15,50;5.185,25
02.04.2025;3249713458 nolu CK AKDENÝZ ELEKTRÝK PERAKENDE SATIÞ A.Þ 324923344740 fatura ödemesi;-225,00;4.960,25
21.04.2025;5304841689 nolu TURKCELL 0000006801223177 fatura ödemesi;-99,00;4.861,25
01.05.2025;6793719540 Nolu üyeye ait 25021004 referanslý Sanal POS Bedeli Komisyon Tahsilatý;-310,00;4.551,25
01.05.2025;6793719540 Nolu üyeye ait 25021004 referanslý Sanal POS Bedeli Komisyon BSMV Tahsilatý;-15,50;4.535,75
02.05.2025;3249713458 nolu CK AKDENÝZ ELEKTRÝK PERAKENDE SATIÞ A.Þ 324744072772 fatura ödemesi;-260,00;4.275,75
22.05.2025;5304841688 nolu TURKCELL 0000006840516464 fatura ödemesi;-99,00;4.176,75
22.05.2025;5304841689 nolu TURKCELL 0000006840516465 fatura ödemesi;-99,00;4.077,75
01.06.2025;6793719540 Nolu üyeye ait 25021005 referanslý Sanal POS Bedeli Komisyon Tahsilatý;-310,00;3.767,75
01.06.2025;6793719540 Nolu üyeye ait 25021005 referanslý Sanal POS Bedeli Komisyon BSMV Tahsilatý;-15,50;3.752,25
