Tarih;Açýklama;Ýþlem Tutarý;Bakiye
31.08.2025;Ýþyeri no:000000000771359,Tutar : 673 Komisyon : 0,Bloke No : 1550548149, BT: 31/07/2025, ÇT:30/08/2025;673,00;560.892,11
31.08.2025;Ýþyeri no:000000000771359,Tutar : 443 Komisyon : 0,Bloke No : 1550548147, BT: 31/07/2025, ÇT:30/08/2025;443,00;560.219,11
31.08.2025;Ýþyeri no:000000000771359,Tutar : 190 Komisyon : 0,Bloke No : 1550548145, BT: 31/07/2025, ÇT:30/08/2025;190,00;559.776,11
31.08.2025;Ýþyeri no:000000000771359,Tutar : 550 Komisyon : 0,Bloke No : 1550548143, BT: 31/07/2025, ÇT:30/08/2025;550,00;559.586,11
31.08.2025;Ýþyeri no:000000000771359,Tutar : 1272 Komisyon : 0,Bloke No : 1550548142, BT: 31/07/2025, ÇT:30/08/2025;1272,00;559.036,11
31.08.2025;Ýþyeri no:000000000771359,Tutar : 169 Komisyon : 0,Bloke No : 1550548124, BT: 31/07/2025, ÇT:30/08/2025;169,00;557.764,11
31.08.2025;Ýþyeri no:000000000771359,Tutar : 256,4 Komisyon : 0,Bloke No : 1550548122, BT: 31/07/2025, ÇT:30/08/2025;256,40;557.595,11
31.08.2025;Ýþyeri no:000000000771359,Tutar : 224 Komisyon : 0,Bloke No : 1550548120, BT: 31/07/2025, ÇT:30/08/2025;224,00;557.338,71
31.08.2025;Ýþyeri no:000000000771359,Tutar : 423 Komisyon : 0,Bloke No : 1550548119, BT: 31/07/2025, ÇT:30/08/2025;423,00;557.114,71
31.08.2025;Ýþyeri no:000000000771359,Tutar : 1275 Komisyon : 0,Bloke No : 1550548117, BT: 31/07/2025, ÇT:30/08/2025;1275,00;556.691,71
31.08.2025;Ýþyeri no:000000000771359,Tutar : 1867 Komisyon : 0,Bloke No : 1550548140, BT: 31/07/2025, ÇT:30/08/2025;1867,00;555.416,71
31.08.2025;Ýþyeri no:000000000771359,Tutar : 524,4 Komisyon : 0,Bloke No : 1550548138, BT: 31/07/2025, ÇT:30/08/2025;524,40;553.549,71
31.08.2025;Ýþyeri no:000000000771359,Tutar : 773,6 Komisyon : 0,Bloke No : 1550548136, BT: 31/07/2025, ÇT:30/08/2025;773,60;553.025,31
31.08.2025;Ýþyeri no:000000000771359,Tutar : 392 Komisyon : 0,Bloke No : 1550548135, BT: 31/07/2025, ÇT:30/08/2025;392,00;552.251,71
31.08.2025;Ýþyeri no:000000000771359,Tutar : 5407,26 Komisyon : 0,Bloke No : 1550548133, BT: 31/07/2025, ÇT:30/08/2025;5407,26;551.859,71
31.08.2025;Ýþyeri no:000000000771359,Tutar : 148 Komisyon : 0,Bloke No : 1550548131, BT: 31/07/2025, ÇT:30/08/2025;148,00;546.452,45
31.08.2025;Ýþyeri no:000000000771359,Tutar : 4632,98 Komisyon : 0,Bloke No : 1550548129, BT: 31/07/2025, ÇT:30/08/2025;4632,98;546.304,45
31.08.2025;Ýþyeri no:000000000771359,Tutar : 899,9 Komisyon : 0,Bloke No : 1550548128, BT: 31/07/2025, ÇT:30/08/2025;899,90;541.671,47
31.08.2025;Ýþyeri no:000000000771359,Tutar : 2063,6 Komisyon : 0,Bloke No : 1550548126, BT: 31/07/2025, ÇT:30/08/2025;2063,60;540.771,57
31.08.2025;Ýþyeri no:000000000771359,Tutar : 56,4 Komisyon : 0,Bloke No : 1550548115, BT: 31/07/2025, ÇT:30/08/2025;56,40;538.707,97
31.08.2025;Ýþyeri no:000000000771359,Tutar : 325,6 Komisyon : 0,Bloke No : 1550548114, BT: 31/07/2025, ÇT:30/08/2025;325,60;538.651,57
31.08.2025;Ýþyeri no:000000000771359,Tutar : 5145,5 Komisyon : 0,Bloke No : 1550548112, BT: 31/07/2025, ÇT:30/08/2025;5145,50;538.325,97
31.08.2025;Ýþyeri no:000000000771359,Tutar : 4431,4 Komisyon : 0,Bloke No : 1550548110, BT: 31/07/2025, ÇT:30/08/2025;4431,40;533.180,47
31.08.2025;Ýþyeri no:000000000771359,Tutar : 558,4 Komisyon : 0,Bloke No : 1550548109, BT: 31/07/2025, ÇT:30/08/2025;558,40;528.749,07
31.08.2025;Ýþyeri no:000000000771359,Tutar : 1694,7 Komisyon : 0,Bloke No : 1550548107, BT: 31/07/2025, ÇT:30/08/2025;1694,70;528.190,67
31.08.2025;Ýþyeri no:000000000771359,Tutar : 4966,9 Komisyon : 0,Bloke No : 1550548106, BT: 31/07/2025, ÇT:30/08/2025;4966,90;526.495,97
31.08.2025;Ýþyeri no:000000000771359,Tutar : 5120 Komisyon : 0,Bloke No : 1550548105, BT: 31/07/2025, ÇT:30/08/2025;5120,00;521.529,07
31.08.2025;Ýþyeri no:000000000771359,Tutar : 11730,3 Komisyon : 0,Bloke No : 1550548104, BT: 31/07/2025, ÇT:30/08/2025;11730,30;516.409,07
31.08.2025;Ýþyeri no:000000000771359,Tutar : 777 Komisyon : 0,Bloke No : 1550548101, BT: 31/07/2025, ÇT:30/08/2025;777,00;504.678,77
31.08.2025;Ýþyeri no:000000000771359,Tutar : 781,5 Komisyon : 0,Bloke No : 1550548097, BT: 31/07/2025, ÇT:30/08/2025;781,50;503.901,77
30.08.2025;Ýþyeri no:000000000771359,Tutar : 675 Komisyon : 0,Bloke No : 1548430353, BT: 30/07/2025, ÇT:29/08/2025;675,00;503.120,27
29.08.2025;MESAJ ÜCRETÝ TUTARI;-0,32;502.445,27
29.08.2025;BSMV TUTARI;-0,29;502.445,59
29.08.2025;KOMÝSYON TUTARI;-5,79;502.445,88
29.08.2025;Türkiye Garanti Bankasý A.Þ./TR500006200043400006288974-MONOPLEKS REKLAM ÜRÜNLERÝ LTD.ÞTÝ./MP02025000000403 NL'U FATURAY;-6048,00;502.451,67
29.08.2025;MESAJ ÜCRETÝ TUTARI;-0,39;508.499,67
29.08.2025;BSMV TUTARI;-0,59;508.500,06
29.08.2025;KOMÝSYON TUTARI;-11,81;508.500,65
29.08.2025;Yapý ve Kredi Bankasý A.Þ./TR630006701000000092812541-ÜÇ T SANAYÝ VE TÝCARET LTD.ÞTÝ./GIB2025000000026 NL'U FATURAYA ÝST;-15000,00;508.512,46
29.08.2025;MESAJ ÜCRETÝ TUTARI;-0,32;523.512,46
29.08.2025;BSMV TUTARI;-0,59;523.512,78
29.08.2025;KOMÝSYON TUTARI;-11,89;523.513,37
29.08.2025;Türkiye Garanti Bankasý A.Þ./TR230006200060200006294634-DENÝZYILDIZI ÝÞ SAÐLIÐI VE GÜVENLÝÐÝ ANONÝM ÞÝRKETÝ/DF4202500000;-10200,00;523.525,26
29.08.2025;Ýþyeri no:000000000771359,Tutar : 348 Komisyon : 0,Bloke No : 1546349983, BT: 29/07/2025, ÇT:28/08/2025;348,00;533.725,26
29.08.2025;Ýþyeri no:000000000771359,Tutar : 479 Komisyon : 0,Bloke No : 1546349982, BT: 29/07/2025, ÇT:28/08/2025;479,00;533.377,26
29.08.2025;Ýþyeri no:000000000771359,Tutar : 300 Komisyon : 0,Bloke No : 1546349981, BT: 29/07/2025, ÇT:28/08/2025;300,00;532.898,26
29.08.2025;Ýþyeri no:000000000771359,Tutar : 314 Komisyon : 0,Bloke No : 1546349975, BT: 29/07/2025, ÇT:28/08/2025;314,00;532.598,26
29.08.2025;Ýþyeri no:000000000771359,Tutar : 108 Komisyon : 0,Bloke No : 1546349974, BT: 29/07/2025, ÇT:28/08/2025;108,00;532.284,26
29.08.2025;Ýþyeri no:000000000771359,Tutar : 260 Komisyon : 0,Bloke No : 1546349973, BT: 29/07/2025, ÇT:28/08/2025;260,00;532.176,26
29.08.2025;Ýþyeri no:000000000771359,Tutar : 84 Komisyon : 0,Bloke No : 1546349980, BT: 29/07/2025, ÇT:28/08/2025;84,00;531.916,26
29.08.2025;Ýþyeri no:000000000771359,Tutar : 814 Komisyon : 0,Bloke No : 1546349978, BT: 29/07/2025, ÇT:28/08/2025;814,00;531.832,26
29.08.2025;Ýþyeri no:000000000771359,Tutar : 3741,9 Komisyon : 0,Bloke No : 1546349977, BT: 29/07/2025, ÇT:28/08/2025;3741,90;531.018,26
29.08.2025;Ýþyeri no:000000000771359,Tutar : 2051,69 Komisyon : 0,Bloke No : 1546349976, BT: 29/07/2025, ÇT:28/08/2025;2051,69;527.276,36
29.08.2025;Ýþyeri no:000000000771359,Tutar : 690,72 Komisyon : 0,Bloke No : 1546349972, BT: 29/07/2025, ÇT:28/08/2025;690,72;525.224,67
29.08.2025;Ýþyeri no:000000000771359,Tutar : 3413,42 Komisyon : 0,Bloke No : 1546349971, BT: 29/07/2025, ÇT:28/08/2025;3413,42;524.533,95
29.08.2025;Ýþyeri no:000000000771359,Tutar : 13286,15 Komisyon : 0,Bloke No : 1546349970, BT: 29/07/2025, ÇT:28/08/2025;13286,15;521.120,53
29.08.2025;Ýþyeri no:000000000771359,Tutar : 666 Komisyon : 0,Bloke No : 1546349968, BT: 29/07/2025, ÇT:28/08/2025;666,00;507.834,38
28.08.2025;Ýþyeri no:000000000771359,Tutar : 2396,8 Komisyon : 0,Bloke No : 1543985125, BT: 28/07/2025, ÇT:27/08/2025;2396,80;507.168,38
28.08.2025;Ýþyeri no:000000000771359,Tutar : 961 Komisyon : 0,Bloke No : 1543985124, BT: 28/07/2025, ÇT:27/08/2025;961,00;504.771,58
28.08.2025;Ýþyeri no:000000000771359,Tutar : 1606 Komisyon : 0,Bloke No : 1543985123, BT: 28/07/2025, ÇT:27/08/2025;1606,00;503.810,58
28.08.2025;Ýþyeri no:000000000771359,Tutar : 403 Komisyon : 0,Bloke No : 1543985119, BT: 28/07/2025, ÇT:27/08/2025;403,00;502.204,58
28.08.2025;Ýþyeri no:000000000771359,Tutar : 860 Komisyon : 0,Bloke No : 1543985117, BT: 28/07/2025, ÇT:27/08/2025;860,00;501.801,58
28.08.2025;Ýþyeri no:000000000771359,Tutar : 1680,3 Komisyon : 0,Bloke No : 1543985122, BT: 28/07/2025, ÇT:27/08/2025;1680,30;500.941,58
28.08.2025;Ýþyeri no:000000000771359,Tutar : 3904,9 Komisyon : 0,Bloke No : 1543985121, BT: 28/07/2025, ÇT:27/08/2025;3904,90;499.261,28
28.08.2025;Ýþyeri no:000000000771359,Tutar : 1238,98 Komisyon : 0,Bloke No : 1543985120, BT: 28/07/2025, ÇT:27/08/2025;1238,98;495.356,38
28.08.2025;Ýþyeri no:000000000771359,Tutar : 540 Komisyon : 0,Bloke No : 1543985118, BT: 28/07/2025, ÇT:27/08/2025;540,00;494.117,4
28.08.2025;Ýþyeri no:000000000771359,Tutar : 2002,04 Komisyon : 0,Bloke No : 1543985116, BT: 28/07/2025, ÇT:27/08/2025;2002,04;493.577,4
28.08.2025;Ýþyeri no:000000000771359,Tutar : 9541,8 Komisyon : 0,Bloke No : 1543985115, BT: 28/07/2025, ÇT:27/08/2025;9541,80;491.575,36
28.08.2025;Ýþyeri no:000000000771359,Tutar : 5542,23 Komisyon : 0,Bloke No : 1543985114, BT: 28/07/2025, ÇT:27/08/2025;5542,23;482.033,56
28.08.2025;Ýþyeri no:000000000771359,Tutar : 12927,5 Komisyon : 0,Bloke No : 1543985113, BT: 28/07/2025, ÇT:27/08/2025;12927,50;476.491,33
28.08.2025;Ýþyeri no:000000000771359,Tutar : 30933,41 Komisyon : 0,Bloke No : 1543985112, BT: 28/07/2025, ÇT:27/08/2025;30933,41;463.563,83
28.08.2025;Ýþyeri no:000000000771359,Tutar : 615 Komisyon : 0,Bloke No : 1543985111, BT: 28/07/2025, ÇT:27/08/2025;615,00;432.630,42
26.08.2025;VERGI-0015 KDV GERÇEK VD:007201-ÝÇ:0146985-THN:2025082601Mkx0000004-VN:0480525636 ALANYA ÖZKAN KIRTASÝ YE MATBAACILIK Y;-443,70;432.015,42
26.08.2025;Ýþyeri no:000000000771359,Tutar : 1588 Komisyon : 0,Bloke No : 1540228030, BT: 26/07/2025, ÇT:25/08/2025;1588,00;432.459,12
26.08.2025;Ýþyeri no:000000000771359,Tutar : 392 Komisyon : 0,Bloke No : 1540228029, BT: 26/07/2025, ÇT:25/08/2025;392,00;430.871,12
26.08.2025;Ýþyeri no:000000000771359,Tutar : 650 Komisyon : 0,Bloke No : 1540228028, BT: 26/07/2025, ÇT:25/08/2025;650,00;430.479,12
