Tarih;Açýklama;Ýþlem Tutarý;Bakiye
31.03.2025;1801374784X310325180225PEÞÝNSATIÞ;17290,85;60.676,43
31.03.2025;1801374784X310325270225PEÞÝNSATIÞKATKIPAYI;-13,75;43.385,58
31.03.2025;1801374784X310325270225PEÞÝNSATIÞ;2749,50;43.399,33
30.03.2025;1801374784X300325170225PEÞÝNSATIÞ;9632,22;40.649,83
29.03.2025;1801374784X290325160225PEÞÝNSATIÞ;16772,95;31.017,61
29.03.2025;1801374784X290325300125ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-1,28;14.244,66
29.03.2025;1801374784X290325300125ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-25,63;14.245,94
29.03.2025;1801374784X290325300125TAKSÝTSATIÞ;2229,42;14.271,57
29.03.2025;1801374784X290325311224ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-1,20;12.042,15
29.03.2025;1801374784X290325311224ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-23,91;12.043,35
29.03.2025;1801374784X290325311224TAKSÝTSATIÞ;2079,23;12.067,26
28.03.2025;BSMV ELEKTRONÝK FON TRANSFERÝ (EFT) ÜCRETÝ-FAST/Alanya ÖZKAN KI/Virman;-0,61;9.988,03
28.03.2025;ELEKTRONÝK FON TRANSFERÝ (EFT) ÜCRETÝ-FAST/Alanya ÖZKAN KI/Virman;-12,19;9.988,64
28.03.2025;GÝDEN FAST - Alanya ÖZKAN KIRTASÝYE MAT.YAY.ÝNÞ.TÝC.LTD.ÞTÝ - Virman;-86700,00;10.000,83
28.03.2025;BSMV ELEKTRONÝK FON TRANSFERÝ (EFT) ÜCRETÝ-EFT/ALANYA ÖZKAN KI/Virman;-0,61;96.700,83
28.03.2025;ELEKTRONÝK FON TRANSFERÝ (EFT) ÜCRETÝ-EFT/ALANYA ÖZKAN KI/Virman;-12,19;96.701,44
28.03.2025;GÝDEN EFT - ALANYA ÖZKAN KIRTASÝYE MAT.YAY.ÝNÞ.TÝC.LTD.ÞTÝ - Virman;-259000,00;96.713,63
28.03.2025;1801374784X280325150225PEÞÝNSATIÞ;26517,30;355.713,63
28.03.2025;1801374784X280325240225PEÞÝNSATIÞKATKIPAYI;-48,96;329.196,33
28.03.2025;1801374784X280325240225PEÞÝNSATIÞ;9791,95;329.245,29
27.03.2025;BSMV POS-1801374784 03/25 Belge ve Bilgilendirme Ücreti-Basýlý Ekstre;-1,45;319.453,34
27.03.2025;POS-1801374784 03/25 Belge ve Bilgilendirme Ücreti-Basýlý Ekstre;-29,00;319.454,79
27.03.2025;1801374784X270325140225PEÞÝNSATIÞ;22080,48;319.483,79
27.03.2025;1801374784X270325230225PEÞÝNSATIÞKATKIPAYI;-38,66;297.403,31
27.03.2025;1801374784X270325230225PEÞÝNSATIÞ;7729,90;297.441,97
27.03.2025;1801374784X270325260325ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN (BSMV);-2,83;289.712,07
27.03.2025;1801374784X270325260325ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN;-56,69;289.714,90
27.03.2025;1801374784X270325260325PEÞÝNSATIÞ;2999,50;289.771,59
