Tarih;Açýklama;Ýþlem Tutarý;Bakiye
30.06.2025;VERGI-0015 KDV GERÇEK VD:007201-ÝÇ:0107230-THN:2025062901Mkx0000031-VN:0480525636 ALANYA ÖZKAN KIRTASÝ YE MATBAACILIK Y;-443,70;185.826,78
30.06.2025;SGK( EMS/BAÐ/SSK)/ 24763010113598210070325000 / ALANYA ÖZKAN KIRTASÝYE MAT.YAYIN.ÝNÞ.TÝC.LTD.ÞTÝ 3476147 /S.Öde Tr: 30.;-27084,73;186.270,48
30.06.2025;SGK( EMS/BAÐ/SSK)/ 24762010110559410070346000 / ALANYA ÖZKAN KIRTASÝYE MATBAACILIK YAY.ÝNÞ.TÝC.LTD.ÞTÝ 3476148 /S.Öde T;-157991,77;213.355,21
29.06.2025;Ýþyeri no:000000000771359,Tutar : 1148 Komisyon : 0,Bloke No : 1437282122, BT: 05/06/2025, ÇT:28/06/2025;1148,00;371.346,98
29.06.2025;Ýþyeri no:000000000771359,Tutar : 1888,2 Komisyon : 0,Bloke No : 1437282120, BT: 05/06/2025, ÇT:28/06/2025;1888,20;370.198,98
29.06.2025;Ýþyeri no:000000000771359,Tutar : 5225,35 Komisyon : 0,Bloke No : 1437282118, BT: 05/06/2025, ÇT:28/06/2025;5225,35;368.310,78
29.06.2025;Ýþyeri no:000000000771359,Tutar : 1227,6 Komisyon : 0,Bloke No : 1437282116, BT: 05/06/2025, ÇT:28/06/2025;1227,60;363.085,43
29.06.2025;Ýþyeri no:000000000771359,Tutar : 3086,2 Komisyon : 0,Bloke No : 1437282108, BT: 05/06/2025, ÇT:28/06/2025;3086,20;361.857,83
29.06.2025;Ýþyeri no:000000000771359,Tutar : 8730,24 Komisyon : 0,Bloke No : 1437282104, BT: 05/06/2025, ÇT:28/06/2025;8730,24;358.771,63
29.06.2025;Ýþyeri no:000000000771359,Tutar : 757,86 Komisyon : 0,Bloke No : 1437282101, BT: 05/06/2025, ÇT:28/06/2025;757,86;350.041,39
29.06.2025;Ýþyeri no:000000000771359,Tutar : 296 Komisyon : 0,Bloke No : 1437282097, BT: 05/06/2025, ÇT:28/06/2025;296,00;349.283,53
28.06.2025;Ýþyeri no:000000000771359,Tutar : 239,2 Komisyon : 0,Bloke No : 1434985934, BT: 04/06/2025, ÇT:27/06/2025;239,20;348.987,53
28.06.2025;Ýþyeri no:000000000771359,Tutar : 1141 Komisyon : 0,Bloke No : 1434985932, BT: 04/06/2025, ÇT:27/06/2025;1141,00;348.748,33
28.06.2025;Ýþyeri no:000000000771359,Tutar : 1257,04 Komisyon : 0,Bloke No : 1434985930, BT: 04/06/2025, ÇT:27/06/2025;1257,04;347.607,33
28.06.2025;Ýþyeri no:000000000771359,Tutar : 502 Komisyon : 0,Bloke No : 1434985928, BT: 04/06/2025, ÇT:27/06/2025;502,00;346.350,29
28.06.2025;Ýþyeri no:000000000771359,Tutar : 1576 Komisyon : 0,Bloke No : 1434985926, BT: 04/06/2025, ÇT:27/06/2025;1576,00;345.848,29
28.06.2025;Ýþyeri no:000000000771359,Tutar : 5359,8 Komisyon : 0,Bloke No : 1434985924, BT: 04/06/2025, ÇT:27/06/2025;5359,80;344.272,29
28.06.2025;Ýþyeri no:000000000771359,Tutar : 160 Komisyon : 0,Bloke No : 1434985922, BT: 04/06/2025, ÇT:27/06/2025;160,00;338.912,49
28.06.2025;Ýþyeri no:000000000771359,Tutar : 4995 Komisyon : 0,Bloke No : 1434985920, BT: 04/06/2025, ÇT:27/06/2025;4995,00;338.752,49
28.06.2025;Ýþyeri no:000000000771359,Tutar : 6861,3 Komisyon : 0,Bloke No : 1434985918, BT: 04/06/2025, ÇT:27/06/2025;6861,30;333.757,49
28.06.2025;Ýþyeri no:000000000771359,Tutar : 6010,2 Komisyon : 0,Bloke No : 1434985916, BT: 04/06/2025, ÇT:27/06/2025;6010,20;326.896,19
28.06.2025;Ýþyeri no:000000000771359,Tutar : 248,8 Komisyon : 0,Bloke No : 1434985914, BT: 04/06/2025, ÇT:27/06/2025;248,80;320.885,99
28.06.2025;Ýþyeri no:000000000771359,Tutar : 857 Komisyon : 0,Bloke No : 1434985911, BT: 04/06/2025, ÇT:27/06/2025;857,00;320.637,19
27.06.2025;Ýþyeri no:000000000771359,Tutar : 1144,2 Komisyon : 0,Bloke No : 1432740842, BT: 03/06/2025, ÇT:26/06/2025;1144,20;319.780,19
27.06.2025;Ýþyeri no:000000000771359,Tutar : 255 Komisyon : 0,Bloke No : 1432740840, BT: 03/06/2025, ÇT:26/06/2025;255,00;318.635,99
27.06.2025;Ýþyeri no:000000000771359,Tutar : 20 Komisyon : 0,Bloke No : 1432740839, BT: 03/06/2025, ÇT:26/06/2025;20,00;318.380,99
27.06.2025;Ýþyeri no:000000000771359,Tutar : 1803,2 Komisyon : 0,Bloke No : 1432740827, BT: 03/06/2025, ÇT:26/06/2025;1803,20;318.360,99
27.06.2025;Ýþyeri no:000000000771359,Tutar : 589 Komisyon : 0,Bloke No : 1432740837, BT: 03/06/2025, ÇT:26/06/2025;589,00;316.557,79
27.06.2025;Ýþyeri no:000000000771359,Tutar : 4533,64 Komisyon : 0,Bloke No : 1432740835, BT: 03/06/2025, ÇT:26/06/2025;4533,64;315.968,79
27.06.2025;Ýþyeri no:000000000771359,Tutar : 7152,82 Komisyon : 0,Bloke No : 1432740833, BT: 03/06/2025, ÇT:26/06/2025;7152,82;311.435,15
27.06.2025;Ýþyeri no:000000000771359,Tutar : 1297,8 Komisyon : 0,Bloke No : 1432740831, BT: 03/06/2025, ÇT:26/06/2025;1297,80;304.282,33
27.06.2025;Ýþyeri no:000000000771359,Tutar : 1083,2 Komisyon : 0,Bloke No : 1432740824, BT: 03/06/2025, ÇT:26/06/2025;1083,20;302.984,53
27.06.2025;Ýþyeri no:000000000771359,Tutar : 4810,6 Komisyon : 0,Bloke No : 1432740822, BT: 03/06/2025, ÇT:26/06/2025;4810,60;301.901,33
27.06.2025;Ýþyeri no:000000000771359,Tutar : 36 Komisyon : 0,Bloke No : 1432740821, BT: 03/06/2025, ÇT:26/06/2025;36,00;297.090,73
27.06.2025;Ýþyeri no:000000000771359,Tutar : 4379,49 Komisyon : 0,Bloke No : 1432740820, BT: 03/06/2025, ÇT:26/06/2025;4379,49;297.054,73
27.06.2025;Ýþyeri no:000000000771359,Tutar : 1497,5 Komisyon : 0,Bloke No : 1432740817, BT: 03/06/2025, ÇT:26/06/2025;1497,50;292.675,24
26.06.2025;Ýþyeri no:000000000771359,Tutar : 372,8 Komisyon : 0,Bloke No : 1430515945, BT: 02/06/2025, ÇT:25/06/2025;372,80;291.177,74
26.06.2025;Ýþyeri no:000000000771359,Tutar : 390,5 Komisyon : 0,Bloke No : 1430515944, BT: 02/06/2025, ÇT:25/06/2025;390,50;290.804,94
26.06.2025;Ýþyeri no:000000000771359,Tutar : 619 Komisyon : 0,Bloke No : 1430515938, BT: 02/06/2025, ÇT:25/06/2025;619,00;290.414,44
26.06.2025;Ýþyeri no:000000000771359,Tutar : 1442,5 Komisyon : 0,Bloke No : 1430515937, BT: 02/06/2025, ÇT:25/06/2025;1442,50;289.795,44
26.06.2025;Ýþyeri no:000000000771359,Tutar : 35 Komisyon : 0,Bloke No : 1430515936, BT: 02/06/2025, ÇT:25/06/2025;35,00;288.352,94
26.06.2025;Ýþyeri no:000000000771359,Tutar : 344 Komisyon : 0,Bloke No : 1430515943, BT: 02/06/2025, ÇT:25/06/2025;344,00;288.317,94
26.06.2025;Ýþyeri no:000000000771359,Tutar : 1455,5 Komisyon : 0,Bloke No : 1430515942, BT: 02/06/2025, ÇT:25/06/2025;1455,50;287.973,94
26.06.2025;Ýþyeri no:000000000771359,Tutar : 3698 Komisyon : 0,Bloke No : 1430515940, BT: 02/06/2025, ÇT:25/06/2025;3698,00;286.518,44
26.06.2025;Ýþyeri no:000000000771359,Tutar : 756 Komisyon : 0,Bloke No : 1430515939, BT: 02/06/2025, ÇT:25/06/2025;756,00;282.820,44
26.06.2025;Ýþyeri no:000000000771359,Tutar : 4025,6 Komisyon : 0,Bloke No : 1430515935, BT: 02/06/2025, ÇT:25/06/2025;4025,60;282.064,44
26.06.2025;Ýþyeri no:000000000771359,Tutar : 5068 Komisyon : 0,Bloke No : 1430515934, BT: 02/06/2025, ÇT:25/06/2025;5068,00;278.038,84
26.06.2025;Ýþyeri no:000000000771359,Tutar : 810,4 Komisyon : 0,Bloke No : 1430515933, BT: 02/06/2025, ÇT:25/06/2025;810,40;272.970,84
26.06.2025;Ýþyeri no:000000000771359,Tutar : 9708,86 Komisyon : 0,Bloke No : 1430515932, BT: 02/06/2025, ÇT:25/06/2025;9708,86;272.160,44
26.06.2025;Ýþyeri no:000000000771359,Tutar : 225 Komisyon : 0,Bloke No : 1430515930, BT: 02/06/2025, ÇT:25/06/2025;225,00;262.451,58
26.06.2025;Ýþyeri no:000000000771359,Tutar : 1894,5 Komisyon : 0,Bloke No : 1430515927, BT: 02/06/2025, ÇT:25/06/2025;1894,50;262.226,58
25.06.2025;Ýþyeri no:000000000771359,Tutar : 1079,8 Komisyon : 0,Bloke No : 1428626631, BT: 01/06/2025, ÇT:24/06/2025;1079,80;260.332,08
25.06.2025;Ýþyeri no:000000000771359,Tutar : 2228 Komisyon : 0,Bloke No : 1428626630, BT: 01/06/2025, ÇT:24/06/2025;2228,00;259.252,28
25.06.2025;Ýþyeri no:000000000771359,Tutar : 200 Komisyon : 0,Bloke No : 1428626627, BT: 01/06/2025, ÇT:24/06/2025;200,00;257.024,28
25.06.2025;Ýþyeri no:000000000771359,Tutar : 248 Komisyon : 0,Bloke No : 1428626620, BT: 01/06/2025, ÇT:24/06/2025;248,00;256.824,28
25.06.2025;Ýþyeri no:000000000771359,Tutar : 255 Komisyon : 0,Bloke No : 1428626618, BT: 01/06/2025, ÇT:24/06/2025;255,00;256.576,28
25.06.2025;Ýþyeri no:000000000771359,Tutar : 1810 Komisyon : 0,Bloke No : 1428626625, BT: 01/06/2025, ÇT:24/06/2025;1810,00;256.321,28
25.06.2025;Ýþyeri no:000000000771359,Tutar : 4156,1 Komisyon : 0,Bloke No : 1428626623, BT: 01/06/2025, ÇT:24/06/2025;4156,10;254.511,28
25.06.2025;Ýþyeri no:000000000771359,Tutar : 172 Komisyon : 0,Bloke No : 1428626622, BT: 01/06/2025, ÇT:24/06/2025;172,00;250.355,18
25.06.2025;Ýþyeri no:000000000771359,Tutar : 590,6 Komisyon : 0,Bloke No : 1428626616, BT: 01/06/2025, ÇT:24/06/2025;590,60;250.183,18
25.06.2025;Ýþyeri no:000000000771359,Tutar : 4771,5 Komisyon : 0,Bloke No : 1428626614, BT: 01/06/2025, ÇT:24/06/2025;4771,50;249.592,58
25.06.2025;Ýþyeri no:000000000771359,Tutar : 48,8 Komisyon : 0,Bloke No : 1428626611, BT: 01/06/2025, ÇT:24/06/2025;48,80;244.821,08
24.06.2025;Ýþyeri no:000000000771359,Tutar : 179,5 Komisyon : 0,Bloke No : 1426678263, BT: 31/05/2025, ÇT:23/06/2025;179,50;244.772,28
24.06.2025;Ýþyeri no:000000000771359,Tutar : 280 Komisyon : 0,Bloke No : 1426678261, BT: 31/05/2025, ÇT:23/06/2025;280,00;244.592,78
24.06.2025;Ýþyeri no:000000000771359,Tutar : 111,8 Komisyon : 0,Bloke No : 1426678251, BT: 31/05/2025, ÇT:23/06/2025;111,80;244.312,78
24.06.2025;Ýþyeri no:000000000771359,Tutar : 248 Komisyon : 0,Bloke No : 1426678249, BT: 31/05/2025, ÇT:23/06/2025;248,00;244.200,98
24.06.2025;Ýþyeri no:000000000771359,Tutar : 1492 Komisyon : 0,Bloke No : 1426678259, BT: 31/05/2025, ÇT:23/06/2025;1492,00;243.952,98
24.06.2025;Ýþyeri no:000000000771359,Tutar : 1173 Komisyon : 0,Bloke No : 1426678257, BT: 31/05/2025, ÇT:23/06/2025;1173,00;242.460,98
24.06.2025;Ýþyeri no:000000000771359,Tutar : 4426,2 Komisyon : 0,Bloke No : 1426678255, BT: 31/05/2025, ÇT:23/06/2025;4426,20;241.287,98
24.06.2025;Ýþyeri no:000000000771359,Tutar : 305,6 Komisyon : 0,Bloke No : 1426678253, BT: 31/05/2025, ÇT:23/06/2025;305,60;236.861,78
24.06.2025;Ýþyeri no:000000000771359,Tutar : 501 Komisyon : 0,Bloke No : 1426678248, BT: 31/05/2025, ÇT:23/06/2025;501,00;236.556,18
24.06.2025;Ýþyeri no:000000000771359,Tutar : 8725,55 Komisyon : 0,Bloke No : 1426678246, BT: 31/05/2025, ÇT:23/06/2025;8725,55;236.055,18
24.06.2025;Ýþyeri no:000000000771359,Tutar : 543,92 Komisyon : 0,Bloke No : 1426678244, BT: 31/05/2025, ÇT:23/06/2025;543,92;227.329,63
24.06.2025;Ýþyeri no:000000000771359,Tutar : 7642,82 Komisyon : 0,Bloke No : 1426678243, BT: 31/05/2025, ÇT:23/06/2025;7642,82;226.785,71
24.06.2025;Ýþyeri no:000000000771359,Tutar : 12300 Komisyon : 0,Bloke No : 1426678241, BT: 31/05/2025, ÇT:23/06/2025;12300,00;219.142,89
24.06.2025;Ýþyeri no:000000000771359,Tutar : 811 Komisyon : 0,Bloke No : 1426678239, BT: 31/05/2025, ÇT:23/06/2025;811,00;206.842,89
24.06.2025;Ýþyeri no:000000000771359,Tutar : 120 Komisyon : 0,Bloke No : 1426678236, BT: 31/05/2025, ÇT:23/06/2025;120,00;206.031,89
23.06.2025;Ýþyeri no:000000000771359,Tutar : 26,4 Komisyon : 0,Bloke No : 1424568853, BT: 30/05/2025, ÇT:22/06/2025;26,40;205.911,89
23.06.2025;Ýþyeri no:000000000771359,Tutar : 536,52 Komisyon : 0,Bloke No : 1424568851, BT: 30/05/2025, ÇT:22/06/2025;536,52;205.885,49
23.06.2025;Ýþyeri no:000000000771359,Tutar : 312 Komisyon : 0,Bloke No : 1424568842, BT: 30/05/2025, ÇT:22/06/2025;312,00;205.348,97
23.06.2025;Ýþyeri no:000000000771359,Tutar : 1872,2 Komisyon : 0,Bloke No : 1424568840, BT: 30/05/2025, ÇT:22/06/2025;1872,20;205.036,97
23.06.2025;Ýþyeri no:000000000771359,Tutar : 464 Komisyon : 0,Bloke No : 1424568838, BT: 30/05/2025, ÇT:22/06/2025;464,00;203.164,77
23.06.2025;Ýþyeri no:000000000771359,Tutar : 138 Komisyon : 0,Bloke No : 1424568850, BT: 30/05/2025, ÇT:22/06/2025;138,00;202.700,77
23.06.2025;Ýþyeri no:000000000771359,Tutar : 1290,5 Komisyon : 0,Bloke No : 1424568848, BT: 30/05/2025, ÇT:22/06/2025;1290,50;202.562,77
23.06.2025;Ýþyeri no:000000000771359,Tutar : 3287,8 Komisyon : 0,Bloke No : 1424568846, BT: 30/05/2025, ÇT:22/06/2025;3287,80;201.272,27
23.06.2025;Ýþyeri no:000000000771359,Tutar : 1029,02 Komisyon : 0,Bloke No : 1424568844, BT: 30/05/2025, ÇT:22/06/2025;1029,02;197.984,47
23.06.2025;Ýþyeri no:000000000771359,Tutar : 5174 Komisyon : 0,Bloke No : 1424568836, BT: 30/05/2025, ÇT:22/06/2025;5174,00;196.955,45
23.06.2025;Ýþyeri no:000000000771359,Tutar : 5729,6 Komisyon : 0,Bloke No : 1424568834, BT: 30/05/2025, ÇT:22/06/2025;5729,60;191.781,45
23.06.2025;Ýþyeri no:000000000771359,Tutar : 40000 Komisyon : 0,Bloke No : 1424568832, BT: 30/05/2025, ÇT:22/06/2025;40000,00;186.051,85
23.06.2025;Ýþyeri no:000000000771359,Tutar : 7239,74 Komisyon : 0,Bloke No : 1424568829, BT: 30/05/2025, ÇT:22/06/2025;7239,74;146.051,85
23.06.2025;Ýþyeri no:000000000771359,Tutar : 230 Komisyon : 0,Bloke No : 1424568827, BT: 30/05/2025, ÇT:22/06/2025;230,00;138.812,11
23.06.2025;Ýþyeri no:000000000771359,Tutar : 1739,4 Komisyon : 0,Bloke No : 1424568824, BT: 30/05/2025, ÇT:22/06/2025;1739,40;138.582,11
22.06.2025;Ýþyeri no:000000000771359,Tutar : 131,4 Komisyon : 0,Bloke No : 1422427609, BT: 29/05/2025, ÇT:21/06/2025;131,40;136.842,71
22.06.2025;Ýþyeri no:000000000771359,Tutar : 1034 Komisyon : 0,Bloke No : 1422427608, BT: 29/05/2025, ÇT:21/06/2025;1034,00;136.711,31
22.06.2025;Ýþyeri no:000000000771359,Tutar : 228,55 Komisyon : 0,Bloke No : 1422427606, BT: 29/05/2025, ÇT:21/06/2025;228,55;135.677,31
22.06.2025;Ýþyeri no:000000000771359,Tutar : 877 Komisyon : 0,Bloke No : 1422427599, BT: 29/05/2025, ÇT:21/06/2025;877,00;135.448,76
22.06.2025;Ýþyeri no:000000000771359,Tutar : 380 Komisyon : 0,Bloke No : 1422427598, BT: 29/05/2025, ÇT:21/06/2025;380,00;134.571,76
22.06.2025;Ýþyeri no:000000000771359,Tutar : 136 Komisyon : 0,Bloke No : 1422427605, BT: 29/05/2025, ÇT:21/06/2025;136,00;134.191,76
22.06.2025;Ýþyeri no:000000000771359,Tutar : 9114,2 Komisyon : 0,Bloke No : 1422427604, BT: 29/05/2025, ÇT:21/06/2025;9114,20;134.055,76
22.06.2025;Ýþyeri no:000000000771359,Tutar : 5542,6 Komisyon : 0,Bloke No : 1422427603, BT: 29/05/2025, ÇT:21/06/2025;5542,60;124.941,56
22.06.2025;Ýþyeri no:000000000771359,Tutar : 1196,6 Komisyon : 0,Bloke No : 1422427601, BT: 29/05/2025, ÇT:21/06/2025;1196,60;119.398,96
22.06.2025;Ýþyeri no:000000000771359,Tutar : 6220 Komisyon : 0,Bloke No : 1422427597, BT: 29/05/2025, ÇT:21/06/2025;6220,00;118.202,36
22.06.2025;Ýþyeri no:000000000771359,Tutar : 6677,4 Komisyon : 0,Bloke No : 1422427596, BT: 29/05/2025, ÇT:21/06/2025;6677,40;111.982,36
22.06.2025;Ýþyeri no:000000000771359,Tutar : 2929 Komisyon : 0,Bloke No : 1422427594, BT: 29/05/2025, ÇT:21/06/2025;2929,00;105.304,96
21.06.2025;Ýþyeri no:000000000771359,Tutar : 111 Komisyon : 0,Bloke No : 1420354232, BT: 28/05/2025, ÇT:20/06/2025;111,00;102.375,96
21.06.2025;Ýþyeri no:000000000771359,Tutar : 1424,6 Komisyon : 0,Bloke No : 1420354230, BT: 28/05/2025, ÇT:20/06/2025;1424,60;102.264,96
21.06.2025;Ýþyeri no:000000000771359,Tutar : 450 Komisyon : 0,Bloke No : 1420354229, BT: 28/05/2025, ÇT:20/06/2025;450,00;100.840,36
21.06.2025;Ýþyeri no:000000000771359,Tutar : 91 Komisyon : 0,Bloke No : 1420354222, BT: 28/05/2025, ÇT:20/06/2025;91,00;100.390,36
21.06.2025;Ýþyeri no:000000000771359,Tutar : 1169,1 Komisyon : 0,Bloke No : 1420354221, BT: 28/05/2025, ÇT:20/06/2025;1169,10;100.299,36
21.06.2025;Ýþyeri no:000000000771359,Tutar : 1050 Komisyon : 0,Bloke No : 1420354220, BT: 28/05/2025, ÇT:20/06/2025;1050,00;99.130,26
21.06.2025;Ýþyeri no:000000000771359,Tutar : 1928 Komisyon : 0,Bloke No : 1420354228, BT: 28/05/2025, ÇT:20/06/2025;1928,00;98.080,26
21.06.2025;Ýþyeri no:000000000771359,Tutar : 4627,1 Komisyon : 0,Bloke No : 1420354227, BT: 28/05/2025, ÇT:20/06/2025;4627,10;96.152,26
21.06.2025;Ýþyeri no:000000000771359,Tutar : 517,5 Komisyon : 0,Bloke No : 1420354226, BT: 28/05/2025, ÇT:20/06/2025;517,50;91.525,16
21.06.2025;Ýþyeri no:000000000771359,Tutar : 3598,43 Komisyon : 0,Bloke No : 1420354225, BT: 28/05/2025, ÇT:20/06/2025;3598,43;91.007,66
