Tarih;Açýklama;Ýþlem Tutarý;Bakiye
31.12.2025;BSMV ELEKTRONÝK FON TRANSFERÝ (EFT) ÜCRETÝ-EFT/ALANYA ÖZKAN KI/HALKBANK HESAB;-7,62;27.275,60
31.12.2025;ELEKTRONÝK FON TRANSFERÝ (EFT) ÜCRETÝ-EFT/ALANYA ÖZKAN KI/HALKBANK HESAB;-152,35;27.283,22
31.12.2025;GÝDEN EFT - ALANYA ÖZKAN KIRTASÝYE MAT.YAY.ÝNÞ.TÝC.LTD.ÞTÝ - HALKBANK HESABINA VÝRMAN;-1200000,00;27.435,57
31.12.2025;BSMV ELEKTRONÝK FON TRANSFERÝ (EFT) ÜCRETÝ-EFT/ALANYA ÖZKAN KI/Virman;-7,62;1.227.435,57
31.12.2025;ELEKTRONÝK FON TRANSFERÝ (EFT) ÜCRETÝ-EFT/ALANYA ÖZKAN KI/Virman;-152,35;1.227.443,19
31.12.2025;GÝDEN EFT - ALANYA ÖZKAN KIRTASÝYE MAT.YAY.ÝNS.TÝC.LTD.ÞTÝ - Virman;-600000,00;1.227.595,54
31.12.2025;1801374784X311225201125PEÞÝNSATIÞKATKIPAYI;-37,50;1.827.595,54
31.12.2025;1801374784X311225201125PEÞÝNSATIÞ;21057,75;1.827.633,04
31.12.2025;1801374784X311225151225PEÞÝNSATIÞKATKIPAYI;-2,90;1.806.575,29
31.12.2025;1801374784X311225151225PEÞÝNSATIÞ;3180,30;1.806.578,19
31.12.2025;1801374784X311225301225ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN (BSMV);-18,73;1.803.397,89
31.12.2025;1801374784X311225301225ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN;-374,62;1.803.416,62
31.12.2025;1801374784X311225301225PEÞÝNSATIÞ;19822,24;1.803.791,24
31.12.2025;1801374784X311225031125ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-0,77;1.783.969,00
31.12.2025;1801374784X311225031125ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-15,44;1.783.969,77
31.12.2025;1801374784X311225031125TAKSÝTSATIÞ;1343,16;1.783.985,21
30.12.2025;BSMV POS-1801374784 12/25 Belge ve Bilgilendirme Ücreti-Basýlý Ekstre;-1,75;1.782.642,05
30.12.2025;POS-1801374784 12/25 Belge ve Bilgilendirme Ücreti-Basýlý Ekstre;-35,00;1.782.643,80
30.12.2025;1801374784X301225191125PEÞÝNSATIÞKATKIPAYI;-1,10;1.782.678,80
30.12.2025;1801374784X301225191125PEÞÝNSATIÞ;21181,50;1.782.679,90
30.12.2025;1801374784X301225021225ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-0,40;1.761.498,40
30.12.2025;1801374784X301225021225ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-8,04;1.761.498,80
30.12.2025;1801374784X301225021225TAKSÝTLÝSATIÞKATKIPAYI;-21,00;1.761.506,84
30.12.2025;1801374784X301225021225TAKSÝTSATIÞ;699,96;1.761.527,84
30.12.2025;1801374784X301225141225PEÞÝNSATIÞ;1000,45;1.760.827,88
29.12.2025;GELEN FAST - BAHTÝYAR BURAK KAPLAN - Sarý Lacivert Baðcýklý Yaka Forma;999,95;1.759.827,43
29.12.2025;GELEN HAVALE -MEHMET AKÝF YILMAZ -;999,95;1.758.827,48
29.12.2025;1801374784X291225181125PEÞÝNSATIÞKATKIPAYI;-20,00;1.757.827,53
29.12.2025;1801374784X291225181125PEÞÝNSATIÞ;15824,80;1.757.847,53
29.12.2025;1801374784X291225011225ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-4,66;1.742.022,73
29.12.2025;1801374784X291225011225ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-93,27;1.742.027,39
29.12.2025;1801374784X291225011225TAKSÝTLÝSATIÞKATKIPAYI;-243,37;1.742.120,66
29.12.2025;1801374784X291225011225TAKSÝTSATIÞ;8112,44;1.742.364,03
29.12.2025;1801374784X291225281225ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN (BSMV);-8,44;1.734.251,59
29.12.2025;1801374784X291225281225ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN;-168,95;1.734.260,03
29.12.2025;1801374784X291225281225PEÞÝNSATIÞ;8939,85;1.734.428,98
29.12.2025;1801374784X291225011125ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-0,81;1.725.489,13
29.12.2025;1801374784X291225011125ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-16,28;1.725.489,94
29.12.2025;1801374784X291225011125TAKSÝTSATIÞ;1416,50;1.725.506,22
29.12.2025;1801374784X291225131225PEÞÝNSATIÞKATKIPAYI;-2,25;1.724.089,72
29.12.2025;1801374784X291225131225PEÞÝNSATIÞ;9177,20;1.724.091,97
