Tarih;Açýklama;Ýþlem Tutarý;Bakiye
31.12.2025;EFT MESAJ ÜCRETÝ TUTARI;-16,28;10.568,43
31.12.2025;EFT BSMV TUTARI;-6,84;10.584,71
31.12.2025;EFT KOMÝSYON TUTARI;-136,85;10.591,55
31.12.2025;HALK BANKASI//TR130001200957100010260200--ALANYA ÖZKAN KIRTASÝYE MAT.YAY.ÝNÞ.TÝC.LTD.ÞTÝ/Ziraat Mobil EFT ZÝRAAT HESABIN;-620000,00;10.728,4
31.12.2025;HESAPLAR ARASI VÝRMAN 55976192 - 5007 Nolu Hesaptan, Ziraat Mobil Virman;65000,00;630.728,4
31.12.2025;30.12.2025 TARÝH VE OZA2025000000898NUMLI FATURASINA ÝSTÝNADEN ABDURRAHMAN ALAETTÝNOÐLU ORTAO ABDURRAHMAN ALAETTÝNOÐLU O;6250,00;565.728,4
31.12.2025;Özkan Kýrtasiye cari hesaba mah yapýlan ödeme ALMA MATER ÖZEL EÐÝTÝM HÝZMETL ALMA MATER ÖZEL EÐÝTÝM HÝZMETLERÝ TURÝZM Ý;18319,00;559.478,4
31.12.2025;hesaplar arasý virman 55976192 - 5007 Nolu Hesaptan, Ziraat Mobil Virman;500000,00;541.159,4
31.12.2025;0028816 no lu çek , Hesap: 50040055976192;-630000,00;41.159,4
31.12.2025;0025213 no lu çek:Þube : 2343, Hesap : 0050040055976192 bedeli:250.000,00TL;-250000,00;671.159,4
31.12.2025;0025207 no lu çek:Þube : 2343, Hesap : 0050040055976192 bedeli:150.000,00TL;-150000,00;921.159,4
31.12.2025;0025217 no lu çek:Þube : 2343, Hesap : 0050040055976192 bedeli:300.000,00TL;-300000,00;1.071.159,4
31.12.2025;0025225 no lu çek:Þube : 2343, Hesap : 0050040055976192 bedeli:200.000,00TL;-200000,00;1.371.159,4
31.12.2025;0027424 no lu çek:Þube : 2343, Hesap : 0050040055976192 bedeli:400.000,00TL;-400000,00;1.571.159,4
31.12.2025;0027444 no lu çek:Þube : 2343, Hesap : 0050040055976192 bedeli:150.000,00TL;-150000,00;1.971.159,4
31.12.2025;0027431 no lu çek:Þube : 2343, Hesap : 0050040055976192 bedeli:200.000,00TL;-200000,00;2.121.159,4
31.12.2025;55976192 - 5007 Nolu Hesaptan, Þube Virman;2185000,00;2.321.159,4
31.12.2025;0028821 no lu çek , Hesap: 50040055976192;-200000,00;136.159,4
31.12.2025;0027426 no lu çek , Hesap: 50040055976192;-100000,00;336.159,4
31.12.2025;0025224 no lu çek , Hesap: 50040055976192;-200000,00;436.159,4
30.12.2025;FT: 30/12/2025 FN: OZE2025000003132 KIRTASÝYE;3004,21;636.159,4
30.12.2025;Gönd: HACIKURA ÝLKÖÐRETÝM OKULU OKUL AÝLEBÝRLÝÐÝ BAÞKANLI Giden FAST - HACIKURA ÝLKÖÐRETÝM OKULU OKUL AÝLEBÝRLÝÐÝ BAÞKAN;11896,50;633.155,19
30.12.2025;"Talimat No: 156368338;ALANYA MTAL KASIM 2025 DEVLET KATKISI ÖDEMESÝ (E OKUL) Muhasebe Birimi Vkn: 0480325909: 39707937 -";3242,02;621.258,69
26.12.2025;Gönd: TORUS YAPI ADÝ ORTAKLIÐI ALANYA ÖZKAN KIRTASÝYE CARÝ HESAP ÖDEMESÝ 0205-KUVEYT TURK KATILIM BANKASI A.S.;182,00;618.016,67
26.12.2025;REGÝOCOM 17.12.2025 OZE2025000003090 NL FT REGÝOCOM ÝLETÝÞÝM MERKEZÝ ANON REGÝOCOM ÝLETÝÞÝM MERKEZÝ ANONÝM ÞÝRKETÝ Ope;1015,00;617.834,67
24.12.2025;Gönd: ANADOLU ÞEKER TURÝZM ÝNÞAAT SANAYÝ VE TÝCARET LTD. 0134-DENÝZBANK A.Þ.;6753,60;616.819,67
22.12.2025;Gönd: GENÇ FIRAT TURÝZM TÝCARET A4 KAÐIDI-DOSYA-KLASÖR ALIM BEDELÝ 0064-T.ÝÞ BANKASI A.S.;4073,48;610.066,07
22.12.2025;FT: 16/12/2025 FN: OZE2025000003057 KIRTASÝYE;4830,00;605.992,59
19.12.2025;KEMAL SOYBAKIÞ 18.12.2025 tarih OZA2025000000879 KEMAL SOYBAKIÞ Ýnternet Havale;5750,01;601.162,59
19.12.2025;MESAJ ÜCRETÝ TUTARI;-1,58;595.412,58
19.12.2025;BSMV TUTARI;-0,53;595.414,16
19.12.2025;KOMÝSYON TUTARI;-10,69;595.414,69
19.12.2025;Türkiye Halk Bankasý A.Þ./TR920001200957100001018558-ÝSMAÝL HAKKI ÖZKAN/GIB2025000000015 NL'U FATURAYA ÝSTÝNADEN ALANYA;-60000,00;595.425,38
19.12.2025;MESAJ ÜCRETÝ TUTARI;-1,46;655.425,38
19.12.2025;BSMV TUTARI;-0,54;655.426,84
19.12.2025;KOMÝSYON TUTARI;-10,79;655.427,38
19.12.2025;Enpara Bank A.Þ./TR150015700000000151703677-MEHMET YILMAZ/FAST iþlemi;-55800,00;655.438,17
19.12.2025;MESAJ ÜCRETÝ TUTARI;-0,32;711.238,17
