Tarih;Açýklama;Tutar(TL);Güncel Bakiye(TL)
01.10.2025;6793719540 Nolu üyeye ait 25021009 referanslý Sanal POS Bedeli Komisyon Tahsilatý;-310,00;13.896,62
01.10.2025;6793719540 Nolu üyeye ait 25021009 referanslý Sanal POS Bedeli Komisyon BSMV Tahsilatý;-15,50;13.881,12
06.10.2025;Ref No:  SN:5804521 PAYTR ÖDEME VE ELEKTRONÝK PARA KURULUÞU ANONÝM ÞÝRKETÝ PAYTR NET TUTAR GönBanka:46 GönÞube:90001 EftRef:15 Eft Otomatik Muhasebe;15039,16;28.920,28
07.10.2025;Ref No:  SN:8321192 PAYTR ÖDEME VE ELEKTRONÝK PARA KURULUÞU ANONÝM ÞÝRKETÝ PAYTR NET TUTAR GönBanka:46 GönÞube:90001 EftRef:10 Eft Otomatik Muhasebe;9513,92;38.434,20
08.10.2025;Ref No:  SN:522819 PAYTR ÖDEME VE ELEKTRONÝK PARA KURULUÞU ANONÝM ÞÝRKETÝ PAYTR NET TUTAR GönBanka:46 GönÞube:90001 EftRef:8 Eft Otomatik Muhasebe;23005,73;61.439,93
09.10.2025;Ref No:  SN:2422919 PAYTR ÖDEME VE ELEKTRONÝK PARA KURULUÞU ANONÝM ÞÝRKETÝ PAYTR NET TUTAR GönBanka:46 GönÞube:90001 EftRef:7 Eft Otomatik Muhasebe;11148,16;72.588,09
13.10.2025;Ref No:  SN:9020726 PAYTR ÖDEME VE ELEKTRONÝK PARA KURULUÞU ANONÝM ÞÝRKETÝ PAYTR NET TUTAR GönBanka:46 GönÞube:90001 EftRef:9 Eft Otomatik Muhasebe;112349,51;184.937,60
14.10.2025;Ref No:  SN:1174492 PAYTR ÖDEME VE ELEKTRONÝK PARA KURULUÞU ANONÝM ÞÝRKETÝ PAYTR NET TUTAR GönBanka:46 GönÞube:90001 EftRef:12 Eft Otomatik Muhasebe;47170,93;232.108,53
15.10.2025;Ref No:  SN:3420420 PAYTR ÖDEME VE ELEKTRONÝK PARA KURULUÞU ANONÝM ÞÝRKETÝ PAYTR NET TUTAR GönBanka:46 GönÞube:90001 EftRef:22 Eft Otomatik Muhasebe;12439,35;244.547,88
16.10.2025;Ref No:  SN:5853097 PAYTR ÖDEME VE ELEKTRONÝK PARA KURULUÞU ANONÝM ÞÝRKETÝ PAYTR NET TUTAR GönBanka:46 GönÞube:90001 EftRef:6 Eft Otomatik Muhasebe;35336,25;279.884,13
17.10.2025;Ref No:  SN:7861744 PAYTR ÖDEME VE ELEKTRONÝK PARA KURULUÞU ANONÝM ÞÝRKETÝ PAYTR NET TUTAR GönBanka:46 GönÞube:90001 EftRef:12 Eft Otomatik Muhasebe;18890,45;298.774,58
20.10.2025;Ref No:  SN:2883032 PAYTR ÖDEME VE ELEKTRONÝK PARA KURULUÞU ANONÝM ÞÝRKETÝ PAYTR NET TUTAR GönBanka:46 GönÞube:90001 EftRef:14 Eft Otomatik Muhasebe;211301,57;510.076,15
21.10.2025;Ref No:  SN:5133120 PAYTR ÖDEME VE ELEKTRONÝK PARA KURULUÞU ANONÝM ÞÝRKETÝ PAYTR NET TUTAR GönBanka:46 GönÞube:90001 EftRef:9 Eft Otomatik Muhasebe;9504,23;519.580,38
24.10.2025;Ref No:  SN:844741 PAYTR ÖDEME VE ELEKTRONÝK PARA KURULUÞU ANONÝM ÞÝRKETÝ PAYTR NET TUTAR GönBanka:46 GönÞube:90001 EftRef:7 Eft Otomatik Muhasebe;24878,71;544.459,09
27.10.2025;Ref No:  SN:5581167 PAYTR ÖDEME VE ELEKTRONÝK PARA KURULUÞU ANONÝM ÞÝRKETÝ PAYTR NET TUTAR GönBanka:46 GönÞube:90001 EftRef:17 Eft Otomatik Muhasebe;64537,11;608.996,20
28.10.2025;Ref No:  SN:7450890 PAYTR ÖDEME VE ELEKTRONÝK PARA KURULUÞU ANONÝM ÞÝRKETÝ PAYTR NET TUTAR GönBanka:46 GönÞube:90001 EftRef:5 Eft Otomatik Muhasebe;12439,35;621.435,55
