Tarih;Açýklama;Tutar(TL);Güncel Bakiye(TL)
02.10.2025;3249713458 nolu CK AKDENÝZ ELEKTRÝK PERAKENDE SATIÞ A.Þ 324482947886 fatura ödemesi;-280,00;1.204.242,49
08.10.2025;Ref No:  SN:891019 ALANYA ÖZKAN KIRTASÝYE.MAT.YAY.ÝNÞ.TÝC.LTD.ÞTÝ. AKBANK TAN ALBARAKA HS EFT GönBanka:46 GönÞube:90001 EftRef:16 Eft Otomatik Muhasebe;691000,00;1.895.242,49
21.10.2025;5304841688 nolu TURKCELL 0000007068538380 fatura ödemesi;-99,00;1.895.143,49
21.10.2025;5304841689 nolu TURKCELL 0000007068538381 fatura ödemesi;-99,00;1.895.044,49
21.10.2025;AHMET  GÜNAL/3. Þahis Para Yatýrma;560090,00;2.455.134,49
30.10.2025;3249713458 nolu CK AKDENÝZ ELEKTRÝK PERAKENDE SATIÞ A.Þ 324337967433 fatura ödemesi;-250,00;2.454.884,49
21.11.2025;5304841688 nolu TURKCELL 0000007109899181 fatura ödemesi;-99,00;2.454.785,49
21.11.2025;5304841689 nolu TURKCELL 0000007109899183 fatura ödemesi;-99,00;2.454.686,49
01.12.2025;3249713458 nolu CK AKDENÝZ ELEKTRÝK PERAKENDE SATIÞ A.Þ 324201633822 fatura ödemesi;-275,00;2.454.411,49
05.12.2025;547234******7652 Nolu Kredi Kartýna yapýlan HESAPTAN ödeme.;-390,00;2.454.021,49
09.12.2025;Ref No:  SN:4874196 ALANYA ÖZKAN KIRTASÝYE.MAT.YAY.ÝNÞ.TÝC.LTD.ÞTÝ. AKBANK TAN ALBARAKA HS EFT GönBanka:46 GönÞube:90001 EftRef:21 Eft Otomatik Muhasebe;1624000,00;4.078.021,49
11.12.2025;AHMET  GÜNAL/3. Þahis Para Yatýrma;294280,00;4.372.301,49
22.12.2025;5304841688 nolu TURKCELL 0000007163155720 fatura ödemesi;-99,00;4.372.202,49
22.12.2025;5304841689 nolu TURKCELL 0000007163155722 fatura ödemesi;-99,00;4.372.103,49
